user_id,gig_type,city,vehicle_class,monthly_avg_income,raw_income_cv,cohort_adjusted_volatility,income_trend_slope,income_floor_ratio,earning_gap_irregularity,upi_monthly_txns,utility_on_time_ratio,platform_tenure_months,avg_savings_ratio,avg_platform_rating,rating_trend,data_completeness,trust_score
GIG_0028,food_delivery,bengaluru,scooter,15298.67,0.365,0.1022,-0.00042,0.175,0.6709,95.0,0.7887,37,0.3224,3.11,-0.137,1.0,573
GIG_0029,food_delivery,pune,bike,18856.14,0.2525,-0.0106,-0.01191,0.4785,0.4651,53.0,0.5794,7,0.1744,3.03,-0.406,1.0,388
GIG_0030,home_services,delhi,car,54749.41,0.1439,-0.0589,-0.00122,0.6894,0.457,108.0,,27,0.2829,3.72,0.078,0.6667,588
GIG_0031,courier,hyderabad,car,32452.45,0.3386,0.1071,-0.01086,0.2345,0.311,137.0,0.7527,32,0.3213,3.99,-0.43,1.0,453
GIG_0032,courier,bengaluru,scooter,25954.87,0.2264,-0.0051,0.00011,0.3904,0.6382,102.0,0.7377,22,0.2892,3.07,-0.084,1.0,610
GIG_0033,home_services,pune,car,45788.77,0.2654,0.0348,-0.00217,0.302,0.4582,115.0,0.5,38,0.2416,3.21,-0.261,1.0,343
GIG_0034,courier,mumbai,car,21443.83,0.1319,-0.0849,0.00049,0.4186,0.4626,92.0,0.7365,30,0.2697,3.61,-0.079,1.0,511
GIG_0035,home_services,pune,none,56768.3,0.2558,0.0198,0.0142,0.5273,0.4559,119.0,0.8713,19,0.2171,4.18,0.309,1.0,813
GIG_0036,home_services,mumbai,bike,25831.41,0.2053,-0.013,-0.00322,0.4302,0.5023,111.0,0.9315,18,0.2369,4.22,-0.082,1.0,538
GIG_0037,food_delivery,mumbai,scooter,39902.06,0.1821,-0.0789,0.00014,0.5296,0.5397,,0.6065,11,0.1868,3.53,-0.073,0.6667,675
GIG_0038,courier,delhi,scooter,34543.63,0.3089,0.05745,-0.00015,0.1034,0.9615,85.0,,13,0.1492,2.05,-0.114,0.6667,300
GIG_0039,food_delivery,hyderabad,bike,26162.05,0.2079,-0.0626,-0.00057,0.3471,0.8671,118.0,0.6919,38,0.2826,4.0,-0.08,1.0,637
GIG_0040,ride_hailing,bengaluru,car,32209.92,0.3668,0.1103,-0.01846,0.2155,0.5505,106.0,0.8843,21,0.2591,3.36,-0.44,1.0,300
GIG_0041,ride_hailing,hyderabad,bike,25763.21,0.2735,0.0466,-0.01517,0.362,0.7965,82.0,0.7545,26,0.2013,,,0.6667,448
GIG_0042,ride_hailing,pune,car,50290.03,0.3791,0.1293,-0.01961,0.1324,0.7042,138.0,0.8048,32,0.3121,3.65,-0.528,1.0,474
GIG_0043,home_services,pune,car,21794.19,0.2513,0.0207,-0.00893,0.4993,1.0048,,0.5771,17,0.1298,2.82,-0.537,0.6667,300
GIG_0044,courier,hyderabad,scooter,37473.48,0.1654,-0.06945,-0.00187,0.2919,0.6024,89.0,0.8678,20,0.1976,3.6,-0.055,1.0,604
GIG_0045,home_services,pune,none,10542.85,0.2365,0.0005,-0.00467,0.4632,0.5999,112.0,1.0,45,0.332,4.77,-0.329,1.0,500
GIG_0046,courier,mumbai,scooter,39395.15,0.257,0.0237,-0.00452,0.3318,0.5391,96.0,,17,0.2377,,,0.3333,550
GIG_0047,ride_hailing,mumbai,car,47048.14,0.2595,0.0075,0.00094,0.1301,0.6696,109.0,,16,0.204,2.54,-0.011,0.6667,376
GIG_0048,courier,delhi,bike,12095.37,0.2483,-0.0137,0.00468,0.2868,0.943,74.0,0.7961,23,0.2195,3.21,0.377,1.0,644
GIG_0049,ride_hailing,mumbai,car,33894.03,0.2812,0.0292,0.00023,0.3231,0.6436,128.0,,36,0.2947,3.71,0.066,0.6667,599
GIG_0050,food_delivery,delhi,scooter,40250.87,0.2878,0.0202,-0.01329,0.2578,0.4758,97.0,,20,0.2409,3.62,-0.352,0.6667,396
GIG_0051,home_services,mumbai,car,52346.11,0.3357,0.1072,0.01157,0.2333,0.3965,102.0,0.7947,31,0.2389,3.23,0.537,1.0,760
GIG_0052,food_delivery,hyderabad,bike,19017.15,0.1535,-0.117,-0.00164,0.6108,0.429,98.0,0.9119,30,0.3082,4.71,-0.148,1.0,654
GIG_0053,courier,bengaluru,scooter,19946.32,0.2315,0.0,0.00957,0.5451,0.3998,87.0,0.5607,23,0.2226,3.2,0.303,1.0,688
GIG_0054,ride_hailing,hyderabad,car,38686.78,0.1991,-0.0411,0.00113,0.4526,0.5925,96.0,0.5019,30,0.2537,3.67,-0.084,1.0,497
GIG_0055,courier,hyderabad,scooter,44084.05,0.211,-0.02385,-0.00058,0.3002,0.2816,110.0,0.8593,28,0.224,3.03,-0.118,1.0,433
GIG_0056,courier,bengaluru,bike,11328.47,0.3491,0.1077,-0.02023,0.3156,0.7345,,0.836,23,0.2125,3.33,-0.375,0.6667,404
GIG_0057,home_services,hyderabad,none,41057.37,0.2515,0.015,0.00668,0.3878,0.7776,,0.561,20,0.1689,,,0.3333,662
GIG_0058,home_services,bengaluru,none,28566.91,0.2199,-0.00945,-0.00013,0.3239,0.8878,87.0,0.7768,14,0.2291,2.61,-0.277,1.0,648
GIG_0059,food_delivery,mumbai,scooter,40896.14,0.2645,0.0035,-0.01109,0.2126,0.5527,85.0,0.9108,19,0.2547,3.5,-0.373,1.0,447
GIG_0060,ride_hailing,hyderabad,car,32666.19,0.1491,-0.0911,9e-05,0.6474,0.8978,90.0,0.8949,18,0.2255,3.46,0.01,1.0,547
GIG_0061,food_delivery,bengaluru,bike,32994.17,0.1363,-0.1085,-1e-05,0.6847,0.4783,84.0,0.8419,11,0.2006,3.13,0.137,1.0,605
GIG_0062,courier,bengaluru,scooter,17459.49,0.3894,0.1579,-0.01825,0.1052,0.9907,69.0,,11,0.1678,2.67,-0.404,0.6667,300
GIG_0063,ride_hailing,delhi,car,41369.14,0.2459,0.0057,-0.00261,0.3014,0.7786,66.0,0.5902,7,0.1148,2.45,0.162,1.0,436
GIG_0064,courier,pune,bike,17838.54,0.2051,-0.0275,0.00545,0.4675,0.6411,94.0,0.6942,33,0.2404,3.5,0.394,1.0,670
GIG_0065,courier,delhi,bike,23328.43,0.2883,0.0263,-0.01345,0.3837,0.5042,95.0,0.5339,26,0.2816,3.22,-0.359,1.0,586
GIG_0066,food_delivery,bengaluru,bike,38810.84,0.2529,0.0081,-0.0107,0.5452,0.8955,86.0,0.6892,12,0.1972,3.76,-0.628,1.0,499
GIG_0067,ride_hailing,pune,car,26917.66,0.3599,0.1101,-0.00988,0.1862,0.4899,71.0,0.6524,17,0.2299,2.39,-0.349,1.0,345
GIG_0068,home_services,delhi,none,23793.25,0.2044,-0.0372,0.00054,0.4595,0.8728,93.0,,22,0.2401,,,0.3333,508
GIG_0069,food_delivery,hyderabad,bike,22027.6,0.3087,0.0382,0.0044,0.2104,0.7036,82.0,,18,0.2539,2.99,0.163,0.6667,402
GIG_0070,home_services,bengaluru,car,47002.54,0.1865,-0.0564,-0.00408,0.5296,1.3305,,0.5,24,0.2645,4.08,-0.03,0.6667,590
GIG_0071,ride_hailing,pune,car,34331.28,0.2969,0.0471,-0.01538,0.4899,1.3536,143.0,,38,0.2909,3.9,-0.457,0.6667,456
GIG_0072,food_delivery,delhi,bike,41371.65,0.1775,-0.08405,0.00057,0.437,0.2785,117.0,0.7161,38,0.3565,4.34,0.063,1.0,686
GIG_0073,home_services,bengaluru,none,22746.85,0.3487,0.11935,-0.01575,0.3091,0.469,97.0,0.5644,27,0.2661,3.65,-0.482,1.0,392
GIG_0074,ride_hailing,delhi,car,46062.2,0.2496,0.0094,0.00069,0.133,0.507,131.0,0.6553,19,0.1969,2.64,-0.029,1.0,459
GIG_0075,ride_hailing,delhi,car,48392.42,0.3173,0.0771,-0.01499,0.3404,1.1966,135.0,0.5657,37,0.2733,3.45,-0.463,1.0,363
GIG_0076,food_delivery,bengaluru,bike,47418.24,0.1694,-0.0754,0.00327,0.3326,0.385,93.0,0.8279,13,0.1984,3.04,-0.075,1.0,602
GIG_0077,food_delivery,bengaluru,scooter,27961.81,0.2116,-0.0512,0.00592,0.5052,0.3011,97.0,0.5,31,0.2289,3.14,0.244,1.0,671
GIG_0078,ride_hailing,hyderabad,bike,17213.78,0.2824,0.0555,-0.01504,0.5987,0.6462,106.0,0.5136,29,0.3124,3.82,-0.612,1.0,454
GIG_0079,food_delivery,bengaluru,car,33637.0,0.2752,0.0148,0.0086,0.1321,0.4992,130.0,0.7363,38,0.3193,3.58,0.446,1.0,665
GIG_0080,home_services,delhi,none,32764.73,0.2856,0.044,0.01237,0.4492,0.7929,87.0,0.5449,9,0.1309,2.46,0.539,1.0,579
GIG_0081,food_delivery,bengaluru,scooter,28569.71,0.3591,0.0963,0.00297,0.1203,0.5765,71.0,0.6206,25,0.2475,3.31,0.029,1.0,547
GIG_0082,ride_hailing,delhi,bike,15885.17,0.2406,-0.0017,-0.00075,0.2519,0.4694,,0.7731,25,0.3041,,,0.3333,548
GIG_0083,ride_hailing,hyderabad,car,34322.56,0.2577,0.0175,0.00698,0.2904,0.4508,114.0,0.8566,23,0.2991,3.48,0.439,1.0,811
GIG_0084,home_services,bengaluru,none,52365.98,0.2074,-0.02195,-0.00031,0.4628,0.6348,92.0,0.7358,19,0.2258,3.56,-0.062,1.0,479
GIG_0085,food_delivery,pune,scooter,24159.41,0.1849,-0.0777,0.00086,0.4591,0.772,58.0,0.6225,11,0.1913,3.27,0.011,1.0,595
GIG_0086,food_delivery,bengaluru,bike,46359.18,0.2925,0.0477,0.00874,0.286,0.5556,99.0,0.8854,19,0.1657,2.98,0.385,1.0,611
GIG_0087,food_delivery,mumbai,bike,39581.1,0.3188,0.0667,-0.00843,0.1648,0.8125,116.0,0.7792,30,0.2631,3.14,-0.146,1.0,347
GIG_0088,home_services,bengaluru,none,23517.21,0.1968,-0.03255,-0.00254,0.4703,0.8406,80.0,0.7391,24,0.1992,3.56,-0.059,1.0,499
GIG_0089,courier,hyderabad,bike,47508.06,0.2989,0.0601,-0.01434,0.2772,0.5335,135.0,0.9222,32,0.2928,4.34,-0.393,1.0,480
GIG_0090,courier,mumbai,scooter,29558.19,0.1387,-0.0946,0.00416,0.6353,0.5426,104.0,0.8042,18,0.245,3.96,0.398,1.0,708
GIG_0091,ride_hailing,delhi,car,13190.36,0.256,0.0158,-0.00101,0.313,0.8622,94.0,0.6741,21,0.2381,2.9,0.023,1.0,530
GIG_0092,ride_hailing,bengaluru,car,18020.91,0.3015,0.045,-0.01159,0.4196,1.2133,71.0,0.875,20,0.2771,3.84,-0.528,1.0,473
GIG_0093,ride_hailing,bengaluru,car,49334.9,0.2461,-0.0104,-0.0021,0.1322,0.6458,114.0,0.5088,42,0.2618,3.52,-0.031,1.0,524
GIG_0094,ride_hailing,bengaluru,car,46274.91,0.3317,0.0752,0.00821,0.2926,0.737,83.0,0.6982,13,0.1678,2.46,0.202,1.0,553
GIG_0095,home_services,bengaluru,bike,21599.8,0.2599,0.0246,0.00821,0.2847,0.7608,93.0,0.6317,30,0.2609,3.63,0.277,1.0,593
GIG_0096,ride_hailing,hyderabad,car,15727.09,0.3314,0.0912,0.01733,0.2986,0.8988,82.0,,26,0.2184,3.05,0.394,0.6667,583
GIG_0097,ride_hailing,mumbai,car,33144.59,0.223,-0.029,-0.00402,0.4797,0.811,95.0,0.7285,23,0.2792,3.65,-0.087,1.0,602
GIG_0098,ride_hailing,delhi,car,12676.65,0.3306,0.0904,-0.01312,0.284,0.7208,77.0,,27,0.2313,3.45,-0.445,0.6667,338
GIG_0099,food_delivery,hyderabad,bike,43675.17,0.4467,0.1762,-0.02362,0.2188,0.8008,113.0,0.6281,27,0.2251,3.36,-0.47,1.0,473
GIG_0100,food_delivery,delhi,bike,29526.12,0.2233,-0.03825,-0.00812,0.6113,0.5924,126.0,0.848,41,0.3186,4.67,-0.25,1.0,626
GIG_0101,food_delivery,bengaluru,bike,28290.53,0.2321,-0.0127,0.00073,0.4344,0.7695,,0.7331,23,0.2518,3.55,0.095,0.6667,576
GIG_0102,food_delivery,hyderabad,bike,32826.9,0.3188,0.0483,-0.00986,0.2893,0.357,89.0,0.9628,20,0.2227,3.62,-0.334,1.0,373
GIG_0103,food_delivery,mumbai,bike,12689.71,0.3118,0.0597,0.00645,0.3132,0.6807,98.0,0.6829,46,0.3384,3.61,0.499,1.0,670
GIG_0104,food_delivery,hyderabad,bike,11510.5,0.1973,-0.0732,0.00179,0.6134,1.1076,80.0,0.7386,23,0.246,3.7,0.064,1.0,589
GIG_0105,food_delivery,hyderabad,scooter,37030.1,0.3588,0.09645,-0.01626,0.4645,0.5814,111.0,0.7482,31,0.2955,3.75,-0.487,1.0,376
GIG_0106,ride_hailing,hyderabad,car,23636.71,0.1606,-0.0796,-0.00106,0.4367,0.7128,88.0,0.6874,22,0.2591,3.14,0.193,1.0,585
GIG_0107,ride_hailing,mumbai,car,24147.44,0.2894,0.0374,-0.00075,0.2183,0.543,63.0,,25,0.2016,2.85,-0.069,0.6667,386
GIG_0108,home_services,mumbai,none,38054.74,0.2777,0.0379,0.00136,0.2004,0.6321,73.0,0.5,22,0.1683,2.69,0.015,1.0,518
GIG_0109,ride_hailing,pune,car,53880.94,0.2236,-0.0262,0.00351,0.4483,0.3727,124.0,0.9004,28,0.258,3.67,0.052,1.0,809
GIG_0110,courier,bengaluru,bike,35344.68,0.3179,0.0765,-0.01417,0.4861,1.0688,111.0,0.7625,29,0.2785,4.17,-0.403,1.0,388
GIG_0111,home_services,pune,none,47054.32,0.3449,0.1089,-0.01415,0.3231,1.1402,112.0,0.7678,22,0.2322,3.76,-0.552,1.0,354
GIG_0112,courier,mumbai,bike,20475.58,0.1664,-0.0521,-7e-05,0.5482,0.6294,84.0,0.6213,23,0.2543,3.69,-0.048,1.0,577
GIG_0113,food_delivery,mumbai,bike,29253.43,0.2857,0.0336,-0.00428,0.2379,0.957,73.0,,15,0.219,,,0.3333,540
GIG_0114,food_delivery,pune,scooter,42988.11,0.2877,0.0251,-0.00719,0.264,0.6537,96.0,0.889,18,0.2233,3.21,-0.218,1.0,377
GIG_0115,food_delivery,bengaluru,bike,45924.32,0.2344,-0.0104,0.00443,0.5654,0.7635,98.0,0.662,21,0.2003,3.14,0.169,1.0,586
GIG_0116,food_delivery,pune,car,44813.93,0.2783,0.003,-0.00964,0.5005,0.9501,104.0,0.5,28,0.2475,3.65,-0.155,1.0,558
GIG_0117,ride_hailing,hyderabad,car,18705.88,0.2075,-0.0327,0.00443,0.4071,0.7031,90.0,0.7167,26,0.2514,3.59,-0.084,1.0,518
GIG_0118,ride_hailing,bengaluru,car,19799.86,0.2759,0.0194,-0.01411,0.4603,0.6975,111.0,,49,0.3822,3.83,-0.529,0.6667,529
GIG_0119,ride_hailing,pune,car,17538.24,0.2442,-0.0056,-0.00848,0.5101,0.5078,106.0,0.5834,36,0.3131,3.84,-0.465,1.0,595
GIG_0120,food_delivery,pune,scooter,47714.68,0.2556,-0.007,0.00852,0.431,0.3029,137.0,,36,0.3403,3.47,0.38,0.6667,662
GIG_0121,home_services,pune,none,13422.97,0.2086,-0.0274,-0.01077,0.5324,0.3339,87.0,0.8438,25,0.2218,3.91,-0.278,1.0,559
GIG_0122,home_services,bengaluru,none,36082.12,0.2401,0.01075,0.00067,0.3698,0.9272,101.0,,29,0.2574,3.2,0.131,0.6667,510
GIG_0123,food_delivery,mumbai,scooter,17572.92,0.2649,0.0039,-0.00244,0.115,1.0547,62.0,0.5092,12,0.16,2.46,0.021,1.0,319
GIG_0124,food_delivery,mumbai,bike,18921.03,0.2894,0.0373,-0.00395,0.1634,0.9162,,0.7191,22,0.2125,2.96,-0.215,0.6667,445
GIG_0125,food_delivery,bengaluru,bike,47944.86,0.339,0.0942,0.00251,0.1212,0.5455,79.0,0.7271,12,0.1687,2.38,0.028,1.0,407
GIG_0126,home_services,hyderabad,bike,18826.4,0.2749,0.0446,0.01027,0.3266,0.3252,72.0,,14,0.2264,3.59,0.602,0.6667,629
GIG_0127,ride_hailing,mumbai,scooter,35337.2,0.1675,-0.0612,0.00336,0.4448,0.4477,97.0,0.5864,23,0.2335,3.21,0.243,1.0,566
GIG_0128,home_services,pune,none,46811.41,0.3588,0.1228,-0.01554,0.1113,0.8192,102.0,0.776,19,0.1742,2.87,-0.324,1.0,300
GIG_0129,ride_hailing,delhi,car,38735.74,0.1829,-0.0573,-0.00432,0.5243,0.2929,75.0,0.7888,11,0.1947,3.37,-0.258,1.0,580
GIG_0130,food_delivery,hyderabad,bike,18196.62,0.204,-0.0665,-0.00141,0.2972,0.4438,57.0,0.5,15,0.176,2.43,-0.067,1.0,351
GIG_0131,home_services,delhi,none,30041.38,0.2876,0.046,-0.00176,0.1505,0.5326,108.0,0.8595,35,0.3181,3.55,0.013,1.0,506
GIG_0132,food_delivery,bengaluru,bike,24483.71,0.1576,-0.0872,0.0003,0.6499,0.6814,64.0,0.7722,18,0.2688,3.73,-0.13,1.0,682
GIG_0133,ride_hailing,hyderabad,bike,30554.17,0.2065,-0.0204,-0.0012,0.3105,0.8099,113.0,,23,0.3077,4.21,0.222,0.6667,656
GIG_0134,courier,bengaluru,scooter,14422.59,0.3871,0.1556,-0.00359,0.1437,0.7947,49.0,,21,0.1819,2.07,-0.087,0.6667,300
GIG_0135,ride_hailing,pune,car,14211.75,0.1968,-0.053,0.00826,0.4524,0.3388,89.0,0.8658,22,0.258,3.63,0.187,1.0,710
GIG_0136,courier,hyderabad,scooter,37670.55,0.3051,0.07025,0.00815,0.2,1.0238,112.0,0.6605,26,0.3033,3.5,0.396,1.0,608
GIG_0137,food_delivery,bengaluru,scooter,21961.49,0.3074,0.0446,-0.00783,0.3431,0.6306,117.0,0.7503,32,0.312,3.83,-0.343,1.0,372
GIG_0138,food_delivery,delhi,scooter,35465.43,0.1795,-0.0881,-0.00022,0.5639,1.265,124.0,0.7956,32,0.3216,4.1,0.038,1.0,714
GIG_0139,ride_hailing,hyderabad,car,28817.69,0.2642,0.024,-0.00073,0.2794,0.5597,96.0,0.8225,18,0.2053,3.36,-0.112,1.0,469
GIG_0140,ride_hailing,hyderabad,car,43804.94,0.1881,-0.0521,0.00183,0.4571,1.1953,113.0,0.7681,23,0.2793,4.2,-0.149,1.0,718
GIG_0141,ride_hailing,delhi,car,35945.07,0.2228,-0.0174,-0.00072,0.2337,0.3224,123.0,0.6901,27,0.3407,,,0.6667,612
GIG_0142,ride_hailing,pune,car,50087.24,0.2116,-0.0382,0.0011,0.4203,0.4625,113.0,,32,0.2031,3.68,-0.051,0.6667,729
GIG_0143,courier,pune,bike,37123.09,0.2419,0.0093,-0.00432,0.1776,0.5648,109.0,0.8735,38,0.332,3.53,-0.29,1.0,584
GIG_0144,courier,pune,scooter,38480.37,0.2706,0.03925,0.00033,0.22,0.6711,104.0,0.8812,36,0.266,,,0.6667,567
GIG_0145,ride_hailing,bengaluru,car,14611.45,0.178,-0.0785,0.00119,0.6299,1.3264,79.0,0.7308,24,0.2345,3.39,0.014,1.0,530
GIG_0146,ride_hailing,delhi,car,32786.3,0.2381,-0.0021,0.00341,0.3721,1.1389,97.0,0.7938,20,0.2118,3.09,0.122,1.0,593
GIG_0147,home_services,pune,car,14882.34,0.2207,-0.0099,0.00216,0.4272,0.4455,,0.7818,18,0.2852,3.27,-0.016,0.6667,588
GIG_0148,ride_hailing,hyderabad,car,13302.52,0.2033,-0.0369,-0.00434,0.2284,0.9701,114.0,0.679,26,0.2467,3.49,0.155,1.0,653
GIG_0149,courier,delhi,scooter,26865.57,0.2442,-0.00725,0.00476,0.3514,0.4174,97.0,0.9043,20,0.2569,,,0.6667,619
GIG_0150,ride_hailing,delhi,car,45852.68,0.1224,-0.1178,-0.00105,0.7559,0.5071,127.0,1.0,30,0.3335,4.04,-0.304,1.0,576
GIG_0151,courier,pune,bike,22760.25,0.2013,-0.0313,-0.00255,0.3888,0.5159,81.0,0.9001,20,0.2695,3.3,0.015,1.0,632
GIG_0152,courier,hyderabad,car,46188.14,0.2028,-0.0287,-0.0039,0.3104,1.1387,122.0,0.6595,21,0.2641,3.62,-0.191,1.0,399
GIG_0153,courier,pune,scooter,22296.98,0.1719,-0.05945,0.001,0.5949,0.7134,103.0,0.885,25,0.2617,4.08,-0.227,1.0,649
GIG_0154,home_services,delhi,bike,23764.88,0.1725,-0.0439,0.00309,0.5489,0.5512,76.0,,12,0.2146,3.14,0.326,0.6667,683
GIG_0155,food_delivery,mumbai,scooter,47953.75,0.2702,0.0092,0.00386,0.2776,0.4347,119.0,0.6977,26,0.1758,2.36,0.136,1.0,554
GIG_0156,courier,hyderabad,bike,34253.52,0.2628,0.024,0.00157,0.3381,0.5535,,,15,0.2114,2.96,-0.11,0.3333,608
GIG_0157,home_services,hyderabad,none,19343.61,0.2059,-0.0306,0.0073,0.2807,0.531,94.0,0.7303,17,0.2026,3.13,0.334,1.0,631
GIG_0158,ride_hailing,bengaluru,car,25811.56,0.2366,-0.0199,-0.00699,0.2674,0.3856,76.0,0.8414,13,0.2363,3.46,-0.278,1.0,519
GIG_0159,ride_hailing,delhi,car,26066.98,0.2687,0.0285,0.00559,0.1791,0.606,78.0,0.8049,19,0.1601,2.81,-0.03,1.0,424
GIG_0160,ride_hailing,pune,car,26685.94,0.1875,-0.0623,0.00353,0.4683,0.587,80.0,0.7018,17,0.2711,3.73,-0.086,1.0,634
GIG_0161,food_delivery,hyderabad,scooter,22078.45,0.2721,0.00975,0.00975,0.4123,0.5694,89.0,0.6745,21,0.2048,3.51,0.35,1.0,692
GIG_0162,ride_hailing,bengaluru,car,20917.66,0.1937,-0.0628,-0.00199,0.3496,0.4291,80.0,0.8158,20,0.27,3.86,0.091,1.0,633
GIG_0163,home_services,hyderabad,none,45764.6,0.2032,-0.0333,0.00063,0.3594,1.0055,128.0,0.9096,22,0.2809,4.33,0.142,1.0,662
GIG_0164,ride_hailing,delhi,car,37721.59,0.3188,0.0786,0.01668,0.4836,0.6264,80.0,0.7433,6,0.2246,3.4,0.411,1.0,733
GIG_0165,home_services,bengaluru,none,21039.17,0.352,0.12265,-0.01263,0.1659,0.6315,73.0,0.9008,24,0.2565,3.44,-0.275,1.0,345
GIG_0166,food_delivery,mumbai,scooter,51141.81,0.214,-0.047,-0.00071,0.4589,0.3632,149.0,0.8607,26,0.3646,3.94,-0.051,1.0,670
GIG_0167,food_delivery,bengaluru,bike,22526.94,0.3327,0.0879,0.00916,0.1849,0.7335,88.0,0.7488,20,0.2166,3.72,0.19,1.0,647
GIG_0168,food_delivery,pune,scooter,18471.81,0.285,0.0224,0.01195,0.4722,0.4814,85.0,0.9054,19,0.2215,4.1,0.474,1.0,768
GIG_0169,ride_hailing,mumbai,car,44344.24,0.2841,0.0321,0.01412,0.3068,0.8827,122.0,0.6887,39,0.3475,3.72,0.434,1.0,719
GIG_0170,home_services,pune,car,48107.25,0.2217,-0.0089,-0.00515,0.4955,0.2736,96.0,0.617,15,0.1845,2.68,-0.195,1.0,431
GIG_0171,food_delivery,pune,car,38938.76,0.2298,-0.0455,-0.00577,0.382,0.5539,,0.8857,15,0.2773,4.02,-0.217,0.6667,491
